Remitente,Diagnostico,Última Modificacion,ID,Grupo Asignado
lveintimilla,CAIDO,yibarra,INC000087420697,Imbabura - O&M Total
afaguirre,FALLA AD,yibarra,INC000087420694,Manabi - O&M Total
basanguano,CAIDO,aortiz,INC000087416897,Redes Inalámbricas - Móvil Andina
lveintimilla,Falla de ac,lveintimilla,INC000087416134,Energía y Climatización - Región Andina
basanguano,FALLA AC,basanguano,INC000087416129,Redes Inalámbricas - Móvil Andina
mcnaranjo,FALLA AC,mcnaranjo,INC000087416128,Energía y Climatización - Región Andina
saushay,ALARMA DE ENERGIA,saushay,INC000087416124,Energía y Climatización - Región Andina
saushay,CAIDO,saushay,INC000087416121,Unidad de Soporte de Servicios Masivos
afaguirre,caído,afaguirre,INC000087411544,Redes Inalámbricas - Móvil Pacífico
rtaco,CAIDA DE TRAFICO,yibarra,INC000087406988,Telxius
mcnaranjo,CAIDA RUTA 2,mcnaranjo,INC000087406986,Redes Inalámbricas - Troncalizado Andina
basanguano,FALLA AC,basanguano,INC000087406983,Redes Inalámbricas - Móvil Andina
basanguano,FALLA AC,basanguano,INC000087402412,Esmeraldas - O&M Total
lveintimilla,CAIDO,mgranda,INC000087402404,Energía y Climatización - Región Pacífico
mcnaranjo,INTERMITENTE,mdpacheco,INC000087397814,Redes Inalámbricas - Troncalizado Andina
basanguano,FALLA AC,basanguano,INC000087393186,Manabi - O&M Total
mcnaranjo,FALLA AC,mcnaranjo,INC000087393135,Redes Inalámbricas - Móvil Pacífico
afaguirre,CAIDO,afaguirre,INC000087393121,Redes Inalámbricas - Móvil Pacífico
saushay,CAIDO,saushay,INC000087393118,Unidad de Soporte de Servicios Masivos
gguayanlema,CAIDO,rtaco,INC000087389222,El Oro - O&M Total
gguayanlema,INTERMITENCIA,mtacuri,INC000087389220,Galápagos - O&M Total
lasifuela,CAIDO,saushay,INC000087389215,Unidad de Soporte de Servicios Masivos
lasifuela,FALLA AC,saushay,INC000087388440,El Oro - O&M Total
lasifuela,CAIDO,saushay,INC000087388424,Energía y Climatización - Región Andina
